Product,Ingredients,SKU,CAS,MW
NAD+,1000mg Biofermented / 5ml Vial Coenzyme,YPB.101,53-84-9,663.4 Da
BPC-157,5mg,YPB.106,137525-51-0,1419.5 Da
BPC-157,10mg,YPB.107,137525-51-0,1419.5 Da
GHK-Cu,50mg,YPB.108,49557-75-7,403.9 Da
GLOW,GHK-Cu 45mg / BPC-157 10mg / TB500 10mg,YPB.109,"GHK-CU: 49557-75-7, BPC-157: 137525-51-0, TB500: 77591-33-4","GHK-CU: 403.9 Da, BPC-157: 1419.5 Da, TB500: 4963 Da"
PT-141,5mg,YPB.110,189691-06-3,1025.2 Da
Selank,10mg,YPB.111,129954-34-3,751.9 Da
Sermorelin,10mg,YPB.112,8618-78-7,3357 Da
Thymosin Beta 4,TB500/10mg,YPB.113,77591-33-4,4963 Da
Wolverine Blend,BPC-157 10mg / TB500 10mg,YPB.114,"BPC-157: 137525-51-0, TB500: 77591-33-4","BPC-157: 1419.5 Da, TB500: 4963 Da"
5-Amino-1mq,100mg,YPB.116,42464-96-0,159.19 Da
5-Amino-1mq,30mg,YPB.117,42464-96-0,159.19 Da
5-Amino-1mq,15mg,YPB.118,42464-96-0,159.19 Da
5-Amino-1mq,5-Amino-1mq 50mg / SLU-PP-332 1mg,YPB.119,"5-Amino-1mq: 42464-96-0, SLU-PP-332: N/A","5-Amino-1mq: 159.19 Da, SLU-PP-332: 359.38 Da"
BPC-157,500mcg,YPB.120,137525-51-0,1419.55 Da
Brain Blend,Dihexa 10mg / Tesofensine 250mcg / BPC-157 125mcg,YPB.121,"Dihexa: 1401708-83-5, Tesofensine: 195875-84-4, BPC-157: 137525-51-0","Dihexa: 470.61 Da, Tesofensine: 353.88 Da, BPC-157: 1419.55 Da"
Dihexa,10mg,YPB.122,1401708-83-5,470.61 Da
Dihexa,8mg,YPB.123,1401708-83-5,470.61 Da
Ivermectin,12mg,YPB.129,70288-86-7,875.10 Da
Methylene Blue,25mg,YPB.130,61-73-4,319.85 Da
MK-677,25mg,YPB.131,159634-47-6,528.67 Da
Weight Loss Blend,SLU-PP-332 250mcg / 5-Amino-1mq 25mg / BPC-157 125mcg,YPB.134,"SLU-PP-332: N/A, 5-Amino-1mq: 42464-96-0, BPC-157: 137525-51-0","SLU-PP-332: 359.38 Da, 5-Amino-1mq: 159.19 Da, BPC-157: 1419.55 Da"
Tesofensine,Tesofensine 250mcg / Dihexa 5mg,YPB.135,"Tesofensine: 195875-84-4, Dihexa: 1401708-83-5","Tesofensine: 353.88 Da, Dihexa: 470.61 Da"
Tesofensine,500mcg,YPB.136,195875-84-4,353.88 Da
Tesofensine,500mcg,YPB.137,195875-84-4,353.88 Da
VIP,2mg / BPC-157 500mcg,YPB.138,"VIP: 37221-79-7, BPC-157: 137525-51-0","VIP: 3326.7 Da, BPC-157: 1419.55 Da"
Sermorelin,10mg,YPB.211,114466-38-5,3357.88 Da
BPC-157,5mg,YPB.212,137525-51-0,1419.55 Da
BPC-157,10mg,YPB.213,137525-51-0,1419.55 Da
Thymosin Beta 4,TB500/5mg,YPB.214,885340-08-9,889.01 Da
Thymosin Beta 4,TB500/10mg,YPB.215,885340-08-9,889.01 Da
Wolverine Blend,BPC-157 5mg / TB500 5mg,YPB.216,"BPC-157: 137525-51-0, TB500: 885340-08-9","BPC-157: 1419.55 Da, TB500: 889.01 Da"
Wolverine Blend,BPC-157 10mg / TB500 10mg,YPB.217,"BPC-157: 137525-51-0, TB500: 885340-08-9","BPC-157: 1419.55 Da, TB500: 889.01 Da"
GLOW,GHK-Cu 50mg / BPC-157 10mg / TB500 10mg,YPB.218,GHK-CU: 300801-03-0 BPC-157: 137525-51-0 TB500: 885340-08-9,GHK-CU: 461.96 Da BPC-157: 1419.55 Da TB500: 889.01 Da
CJC-1295 Without DAC,10mg,YPB.219,446262-90-4,3647.25 Da
CJC-1295 With DAC,5mg,YPB.220,446262-90-4,3647.25 Da
GHK-Cu,50mg,YPB.221,300801-03-0,461.96 Da
GHK-Cu,100mg,YPB.222,300801-03-0,461.96 Da
NAD+,500mg,YPB.223,53-84-9,663.40 Da
NAD+,1000mg,YPB.224,53-84-9,663.40 Da
Reconstitution Water,3ml,YPB.225,7732-18-5,18.02 Da
Reconstitution Water,10ml,YPB.226,7732-18-5,18.02 Da
MOTS-c,10mg,YPB.227,1627580-64-6,2174.59 Da
Selank,10mg,YPB.228,129954-34-3,751.88 Da
Semax,10mg,YPB.229,80714-61-0,867.9 Da
DSIP,15mg,YPB.230,62568-57-4,848.81 Da
Thymosin Alpha 1,TA1/10mg,YPB.231,62304-98-7,3108.52 Da
N-Acetyl Epitalon Amidate,5mg,YPB.232,307297-39-8,390.35 Da
GDF-8,1mg,YPB.233,271597-12-7,2956.5 Da
BPC 157,20mg,YPB.237,137525-51-0,1419.55 Da
2X Blend,CJC-1295 no DAC 5mg / Ipamorelin 5mg,YPB.238,"CJC-1295 No DAC: 446036-97-1, Ipamorelin: 170851-70-4","CJC-1295 No DAC: 3367.90 Da, Ipamorelin: 711.87 Da"
Cagrilintide,10mg,YPB.241,1415456-99-3,4409.01 Da
5-amino-1mq,5mg,YPB.242,42464-96-0,159.21 Da
SLU-PP-332,5mg,YPB.243,303760-60-3,290.32 Da
LL37,5mg,YPB.244,154947-66-7,159.21 Da
SS-31,10mg,YPB.245,1334953-95-5,639.80 Da
SS-31,50mg,YPB.246,1334953-95-5,639.80 Da
5-amino-1mq,50mg,YPB.247,42464-96-0,159.21 Da
AOD9604,5mg,YPB.248,221231-10-3,1877.14 Da
ACE-031,1mg,YPB.249,1621169-52-5,2956.49 Da
AICAR,50 mg,YPB.250,2627-69-2,258.23 Da
B12,10ml,YPB.251,13422-55-4,1344.38 Da
DSIP,5mg,YPB.252,62568-57-4,848.81 Da
Epitalon,10mg,YPB.253,307297-39-8,390.35 Da
