Product,Ingredients,SKU
4X Blend,GHRP-2 5mg / Tesamorelin 5mg / MGF 500mcg / Ipamorelin 2.5mg,YPB.100
NAD+,1000mg Biofermented / 5ml Vial Coenzyme,YPB.101
BPC-157,5mg,YPB.106
BPC-157,10mg,YPB.107
GHK-Cu,50mg,YPB.108
GLOW,GHK-Cu 45mg / BPC-157 10mg / TB500 10mg,YPB.109
PT-141,5mg,YPB.110
Selank,10mg,YPB.111
Sermorelin,10mg,YPB.112
Thymosin Beta 4,TB500/10mg,YPB.113
Wolverine Blend,BPC-157 10mg / TB500 10mg,YPB.114
5-Amino-1mq,100mg,YPB.116
5-Amino-1mq,30mg,YPB.117
5-Amino-1mq,15mg,YPB.118
5-Amino-1mq,5-Amino-1mq 50mg / SLU-PP-332 1mg,YPB.119
BPC-157,500mcg,YPB.120
Brain Blend,Dihexa 10mg / Tesofensine 250mcg / BPC-157 125mcg,YPB.121
Dihexa,10mg,YPB.122
Dihexa,8mg,YPB.123
Ivermectin,12mg,YPB.129
Methylene Blue,25mg,YPB.130
MK-677,25mg,YPB.131
SLU-PP-332,1mg,YPB.132
SLU-PP-332,250mcg,YPB.133
Weight Loss Blend,SLU-PP-332 250mcg / 5-Amino-1mq 25mg / BPC-157 125mcg,YPB.134
Tesofensine,Tesofensine 250mcg / Dihexa 5mg,YPB.135
Tesofensine,500mcg,YPB.136
Tesofensine,500mcg,YPB.137
VIP,2mg / BPC-157 500mcg,YPB.138
Sermorelin,10mg,YPB.211
BPC-157,5mg,YPB.212
BPC-157,10mg,YPB.213
Thymosin Beta 4,TB500/5mg,YPB.214
Thymosin Beta 4,TB500/10mg,YPB.215
Wolverine Blend,BPC-157 5mg / TB500 5mg,YPB.216
Wolverine Blend,BPC-157 10mg / TB500 10mg,YPB.217
GLOW,GHK-Cu 50mg / BPC-157 10mg / TB500 10mg,YPB.218
CJC-1295 Without DAC,10mg,YPB.219
CJC-1295 With DAC,5mg,YPB.220
GHK-Cu,50mg,YPB.221
GHK-Cu,100mg,YPB.222
NAD+,500mg,YPB.223
NAD+,1000mg,YPB.224
Reconstitution Water,3ml,YPB.225
Reconstitution Water,10ml,YPB.226
MOTS-c,10mg,YPB.227
Selank,10mg,YPB.228
Semax,10mg,YPB.229
DSIP,15mg,YPB.230
Thymosin Alpha 1,TA1/10mg,YPB.231
N-Acetyl Epitalon Amidate,5mg,YPB.232
GDF-8,1mg,YPB.233
BPC 157,20mg,YPB.237
2X Blend,CJC-1295 no DAC 5mg / Ipamorelin 5mg,YPB.238
Cagrilintide,10mg,YPB.241
5-amino-1mq,5mg,YPB.242
SLU-PP-332,5mg,YPB.243
LL37,5mg,YPB.244
SS-31,10mg,YPB.245
SS-31,50mg,YPB.246
5-amino-1mq,50mg,YPB.247
AOD9604,5mg,YPB.248
ACE-031,1mg,YPB.249
B12,10ml,YPB.251
DSIP,5mg,YPB.252
Epitalon,10mg,YPB.253
Epitalon,50mg,YPB.254
FOXO4,10mg,YPB.255
GHRP-6 Acetate,10mg,YPB.257
Glutathione,1500mg,YPB.259
Hexarelin Acetate,5mg,YPB.261
Ipamorelin,10mg,YPB.263
KLOW,GHK-Cu 50mg / KPV 10mg / BPC-157 10mg / TB500 10mg,YPB.264
LYSINE-PROLINE-VALINE,10mg,YPB.265
KissPeptin,10mg,YPB.266
8X Blend,L-Carnitine (20mg) / L-Arginine 20mg / Methonine 25mg / Inositol 50mg / Choline 50mg / B6 25mg / B5 5mg / B12 1mg,YPB.267
4X Blend,Methionine (15mg) / Choline Chloride (50mg) / Carnitine 50mg / Dexpanthenol 5mg,YPB.268
Mazdutide,100mg,YPB.269
Melanotan 2,10mg,YPB.270
MOTS-c,40mg,YPB.271
Snap-8,10mg,YPB.272
Pinealon,20mg,YPB.273
PT-141,10mg,YPB.274
PNC-27,10mg,YPB.275
ARA-290,10mg,YPB.277
Survodutide,10mg,YPB.278
Tesamorelin,10mg,YPB.279
Thymalin,10mg,YPB.280
VIP10,10mg,YPB.281
GHRP-6 Acetate,5mg,YPB.282
Glutathione,600mg,YPB.283
GLP-2 TZ,30mg,YPB.103
